"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/konya-selcuklu-seyh-samil-kiralik/daire/127826-663","46","30.000","01-05-2025","Kiralık Daire","4 +
                          1","173 m²","16
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kardelen Konutlarında Ara Kat 4+1 Dairemiz Kiralık","Konya / Selçuklu / Şeyh Şamil Mah.","https://www.hepsiemlak.com/emlak-ofisi/fullemlak-tv-127826/zafer-inan-3180479","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/3/1/0/4/6/3/4/228ffa5e-cac0-4ed6-9e18-a1e917259b94.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/7/4/0/8/1/3/ed8036f3-cab2-4514-8237-ce4badc1d5c4.jpg","Fullemlak Tv"
"https://www.hepsiemlak.com/konya-eregli-gulbahce-kiralik/daire/119735-336","18","13.000","25-04-2025","Kiralık Daire","1 +
                          1","55 m²","Sıfır Bina","Çatı Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralık Eşyalı 1+1 Sıfır Daire Kombili","Konya / Ereğli / Gülbahçe Mah.","https://www.hepsiemlak.com/emlak-ofisi/aydin-emlak-119735/adnan-aydin-2723745","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/1/7/2/4/4/4/1743867714-442342-44427129.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/4/7/3/2/7/2/9ca77f4e-1898-4c45-85eb-f064b263cae9.jpg","Aydın Emlak"
"https://www.hepsiemlak.com/konya-selcuklu-hocacihan-kiralik/daire/85930-247","8","16.000","08-05-2025","Kiralık Daire","1 +
                          1","65 m²","9
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Beyşehir Caddesi, Atlıhan Karşısı Aşağı Dubleks 1+1 Kiralık Daire","Konya / Selçuklu / Hocacihan Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/9/0/4/0/5/4/4/09e8d2ff-8e50-4681-94d9-d0caec4b60b8.jpg","",""
"https://www.hepsiemlak.com/konya-meram-alavardi-kiralik/daire/62297-347","15","20.000","23-04-2025","Kiralık Daire","3 +
                          1","145 m²","25
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralık 3+1 Daire Meram Yaka Alavardı Mah.","Konya / Meram / Alavardı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/1/7/7/1/5/4/4/535f4661-ff27-4c56-8342-f8b5497549d3.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-sultan-mesud-kiralik/daire/90958-150","24","13.000","24-04-2025","Kiralık Daire","3 +
                          1","140 m²","25
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Emlak81den Konya Karatay Beşyol Civarı 3+1 Merkezi Kaloriferli Arakat Daire","Konya / Karatay / Sultan Mesud Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/5/5/7/9/4/4/4/1745003900309-44497553.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-bosna-hersek-kiralik/daire/152009-38","25","16.500","07-05-2025","Kiralık Daire","3 +
                          1","133 m²","25
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bosna Da Tranvaya Yakın Kiralık 3+1 Daire","Konya / Selçuklu / Bosna Hersek Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/0/7/7/8/5/4/4/d8cce5fa-cfb4-4b89-9acc-7f15e7295372.jpg","",""
"https://www.hepsiemlak.com/konya-karatay-fevzicakmak-kiralik/daire/65192-557","34","21.000","06-05-2025","Kiralık Daire","3 +
                          1","150 m²","7
                        Yaşında","3. Kat","","","","Akhüyük Sitesin De 3+1 Kiralık Daire","Konya / Karatay / Fevziçakmak Mah.","https://www.hepsiemlak.com/emlak-ofisi/sefikcan-emlak-insaat-65192","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/6/1/8/5/4/4/7eef8693-54ec-4473-83c3-52a0bafd80e6.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/9/1/5/6/0/5449368b-f6fc-48fd-a931-9ba335483d41.jpg","Şefikcan Emlak İnşaat"
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/158085-13","23","12.000","06-05-2025","Kiralık Daire","1 +
                          1","55 m²","4
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","1+1 Eşyalı Kiralık Daire","Konya / Ereğli / Toros Mah.","https://www.hepsiemlak.com/emlak-ofisi/dmk-gayrimenkul-158085/murat-kocer-4425499","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/4/1/7/7/5/4/4/a3fcff0b-aeb5-4c60-bf0a-c16b4aa3c9f7.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/9/4/5/2/4/4/cad4f5a6-58d3-44c1-acd0-92deb93b178c.jpg","Dmk Gayrimenkul"
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/0-44557486","15","10.000","02-05-2025","Kiralık Daire","1 +
                          1","55 m²","5
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden Kiralık Satılık Eşyalı Temiz 1+1 Daire","Konya / Ereğli / Toros Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/4/7/5/5/4/4/1746090373236-44557486.jpg","",""
"https://www.hepsiemlak.com/konya-meram-yaylapinar-kiralik/daire/152048-33","19","14.500","22-04-2025","Kiralık Daire","2 +
                          1","125 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Gültaş Dan Aybahçede Sıfır 2+1 Kiralık Daire","Konya / Meram / Yaylapınar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/5/9/2/1/5/4/4/1745317311-933494-44512957.jpeg","",""
